GSE	GSM	SRX	SRR	Dataset
GSE124513	GSM3535590	SRX5191013	SRR8381040	1
GSE124513	GSM3535590	SRX5191013	SRR8381041	1
GSE124513	GSM3535590	SRX5191013	SRR8381042	1
GSE124513	GSM3535591	SRX5191014	SRR8381043	1
GSE124513	GSM3535591	SRX5191014	SRR8381044	1
GSE124513	GSM3535591	SRX5191014	SRR8381045	1
GSE124513	GSM3535591	SRX5191014	SRR8381046	1
GSE124513	GSM3535592	SRX5191015	SRR8381047	1
GSE124513	GSM3535592	SRX5191015	SRR8381048	1
GSE124513	GSM3535592	SRX5191015	SRR8381049	1
GSE124513	GSM3535592	SRX5191015	SRR8381050	1
GSE124513	GSM3535593	SRX5191016	SRR8381051	1
GSE124513	GSM3535593	SRX5191016	SRR8381052	1
GSE124513	GSM3535593	SRX5191016	SRR8381053	1
GSE124513	GSM3535593	SRX5191016	SRR8381054	1
GSE124513	GSM3535594	SRX5191017	SRR8381055	1
GSE124513	GSM3535594	SRX5191017	SRR8381056	1
GSE124513	GSM3535594	SRX5191017	SRR8381057	1
GSE124513	GSM3535594	SRX5191017	SRR8381058	1
GSE124513	GSM3535595	SRX5191018	SRR8381059	1
GSE124513	GSM3535595	SRX5191018	SRR8381060	1
GSE124513	GSM3535595	SRX5191018	SRR8381061	1
GSE124513	GSM3535595	SRX5191018	SRR8381062	1
GSE125837	GSM3582955	SRX5306801	SRR8502876	1
GSE125837	GSM3582956	SRX5306802	SRR8502877	1
GSE125837	GSM3582957	SRX5306803	SRR8502878	1
GSE125837	GSM3582958	SRX5306804	SRR8502879	1
GSE125837	GSM3582959	SRX5306805	SRR8502880	1
GSE125837	GSM3582960	SRX5306806	SRR8502881	1
GSE125837	GSM3582961	SRX5306807	SRR8502882	1
GSE125837	GSM3582962	SRX5306808	SRR8502883	1
GSE125837	GSM3582963	SRX5306809	SRR8502884	1
GSE125837	GSM3582964	SRX5306810	SRR8502885	1
GSE125837	GSM3582965	SRX5306811	SRR8502886	1
GSE125837	GSM3582966	SRX5306812	SRR8502887	1
GSE125837	GSM3582967	SRX5306813	SRR8502888	1
GSE125837	GSM3582968	SRX5306814	SRR8502889	1
GSE125837	GSM3582969	SRX5306815	SRR8502890	1
GSE125837	GSM3582970	SRX5306816	SRR8502891	1
GSE125837	GSM3582971	SRX5306817	SRR8502892	1
GSE125837	GSM3582972	SRX5306818	SRR8502893	1
GSE125837	GSM3582973	SRX5306819	SRR8502894	1
GSE125837	GSM3582974	SRX5306820	SRR8502895	1
GSE125837	GSM3582975	SRX5306821	SRR8502896	1
GSE125837	GSM3582976	SRX5306822	SRR8502897	1
GSE125837	GSM3582977	SRX5306823	SRR8502898	1
GSE125837	GSM3582978	SRX5306824	SRR8502899	1
GSE125837	GSM3582979	SRX5306825	SRR8502900	1
GSE125837	GSM3582980	SRX5306826	SRR8502901	1
GSE125837	GSM3582981	SRX5306827	SRR8502902	1
GSE125837	GSM3582982	SRX5306828	SRR8502903	1
GSE125837	GSM3582983	SRX5306829	SRR8502904	1
GSE125837	GSM3582984	SRX5306830	SRR8502905	1
GSE126910	GSM3618029	SRX5406086	SRR8606670	1
GSE126910	GSM3618030	SRX5406087	SRR8606671	1
GSE126910	GSM3618031	SRX5406088	SRR8606672	1
GSE126910	GSM3618032	SRX5406089	SRR8606673	1
GSE126910	GSM3618033	SRX5406090	SRR8606674	1
GSE126910	GSM3618034	SRX5406091	SRR8606675	1
GSE126910	GSM3618035	SRX5406092	SRR8606676	1
GSE126910	GSM3618036	SRX5406093	SRR8606677	1
GSE126910	GSM3618037	SRX5406094	SRR8606678	1
GSE126910	GSM3618038	SRX5406095	SRR8606679	1
GSE126910	GSM3618039	SRX5406096	SRR8606680	1
GSE126910	GSM3618040	SRX5406097	SRR8606681	1
GSE128614	GSM3681110	SRX5547758	SRR8757074	1
GSE128614	GSM3681112	SRX5547760	SRR8757076	1
GSE128614	GSM3681114	SRX5547762	SRR8757078	1
GSE128614	GSM3681116	SRX5547764	SRR8757080	1
GSE128614	GSM3681118	SRX5547766	SRR8757082	1
GSE128621	GSM3681181	SRX5547807	SRR8757123	1
GSE128621	GSM3681182	SRX5547808	SRR8757124	1
GSE128621	GSM3681183	SRX5547809	SRR8757125	1
GSE128621	GSM3681184	SRX5547810	SRR8757126	1
GSE128621	GSM3681185	SRX5547811	SRR8757127	1
GSE128621	GSM3681186	SRX5547812	SRR8757128	1
GSE128621	GSM3681187	SRX5547813	SRR8757129	1
GSE128621	GSM3681188	SRX5547814	SRR8757130	1
GSE128621	GSM3681189	SRX5547815	SRR8757131	1
GSE128621	GSM3681190	SRX5547816	SRR8757132	1
GSE128621	GSM3681191	SRX5547817	SRR8757133	1
GSE128621	GSM3681192	SRX5547818	SRR8757134	1
GSE128621	GSM3681193	SRX5547819	SRR8757135	1
GSE128621	GSM3681194	SRX5547820	SRR8757136	1
GSE131249	GSM3768070	SRX5835170	SRR9058970	1
GSE131249	GSM3768071	SRX5835171	SRR9058971	1
GSE131249	GSM3768072	SRX5835172	SRR9058972	1
GSE131249	GSM3768073	SRX5835173	SRR9058973	1
GSE131249	GSM3768074	SRX5835174	SRR9058974	1
GSE131249	GSM3768075	SRX5835175	SRR9058975	1
GSE131249	GSM3768076	SRX5835176	SRR9058976	1
GSE131249	GSM3768077	SRX5835177	SRR9058977	1
GSE131249	GSM3768078	SRX5835178	SRR9058978	1
GSE131249	GSM3768079	SRX5835179	SRR9058979	1
GSE131249	GSM3768080	SRX5835180	SRR9058980	1
GSE131249	GSM3768081	SRX5835181	SRR9058981	1
GSE131249	GSM3768082	SRX5835182	SRR9058982	1
GSE131249	GSM3768083	SRX5835183	SRR9058983	1
GSE131249	GSM3768084	SRX5835184	SRR9058984	1
GSE137939	GSM4094660	SRX6895689	SRR10174271	1
GSE137939	GSM4094661	SRX6895690	SRR10174272	1
GSE137939	GSM4094662	SRX6895691	SRR10174273	1
GSE137939	GSM4094663	SRX6895692	SRR10174274	1
GSE137939	GSM4094664	SRX6895693	SRR10174275	1
GSE137939	GSM4094665	SRX6895694	SRR10174276	1
GSE137939	GSM4094666	SRX6895695	SRR10174277	1
GSE137939	GSM4094667	SRX6895696	SRR10174278	1
GSE137939	GSM4094668	SRX6895697	SRR10174279	1
GSE138371	GSM4106159	SRX6944158	SRR10224562	1
GSE138371	GSM4106160	SRX6944159	SRR10224563	1
GSE138371	GSM4106161	SRX6944160	SRR10224564	1
GSE138371	GSM4106162	SRX6944161	SRR10224565	1
GSE138371	GSM4106163	SRX6944162	SRR10224566	1
GSE138371	GSM4106164	SRX6944163	SRR10224567	1
GSE138371	GSM4106165	SRX6944164	SRR10224568	1
GSE138371	GSM4106166	SRX6944165	SRR10224569	1
GSE138371	GSM4106167	SRX6944166	SRR10224570	1
GSE138371	GSM4106168	SRX6944167	SRR10224571	1
GSE138371	GSM4106169	SRX6944168	SRR10224572	1
GSE138371	GSM4106170	SRX6944169	SRR10224573	1
GSE138371	GSM4106171	SRX6944170	SRR10224574	1
GSE138371	GSM4106172	SRX6944171	SRR10224575	1
GSE138371	GSM4106173	SRX6944172	SRR10224576	1
GSE138371	GSM4106174	SRX6944173	SRR10224577	1
GSE138371	GSM4106175	SRX6944174	SRR10224578	1
GSE138371	GSM4106176	SRX6944175	SRR10224579	1
GSE138468	GSM4109480	SRX6954689	SRR10235450	1
GSE138468	GSM4109481	SRX6954690	SRR10235451	1
GSE138468	GSM4109482	SRX6954691	SRR10235452	1
GSE138468	GSM4109483	SRX6954692	SRR10235453	1
GSE138468	GSM4109484	SRX6954693	SRR10235454	1
GSE138468	GSM4109485	SRX6954694	SRR10235455	1
GSE138468	GSM4109486	SRX6954695	SRR10235456	1
GSE138468	GSM4109487	SRX6954696	SRR10235457	1
